id,title,publishedAt,categoryId,viewCount,likeCount,dislikeCount
HTwWXuH-4pU,🤑PG ONE 新歌！ 🤑 ： D1NOVO / 未来还未来 【  LYRIC VIDEO 】,2018-08-26,10,1290760,11096,715
Pi38grDEgts,艾熱 / 黃旭《你能看到我》高音質 / 動態歌詞版MV,2018-08-04,10,2300353,8999,283
OmEPFmyKO74,LOVE SCENARIO,2018-01-25,10,2758137,21567,5111
tyyxkTgb8k4,M.r.Golden's Dream - 金大人的梦,2017-12-25,10,19577,340,1
j6mlQuUjGCo,Go (가),2017-12-27,10,10019,58,2
RN1xuMWSQQk,Like Nothing (없던 일처럼),2017-12-27,10,35111,272,12
jOX1FvZoBMs,What Is Love (Chinese Ver.),2015-06-23,10,15738,267,138
fH1PcHx2kPY,There for You,2017-05-25,10,1798079,27346,5847
M4IQ7wBNmt0,Thinking About You,2017-01-25,10,1515173,12456,986
b1E70mAzNwY,畢書盡 Bii - Love More (官方版MV) - 三立/東森偶像劇「料理高校生」插曲、面膜廣告歌曲,2015-07-23,10,38261659,118426,3776
cyJLgGRQzWs,A.D.T.O.Y.,2015-06-23,10,66162,989,186
slkO133D0uw,솔직히 Honestly...,2018-04-18,10,125997,1725,182
13nxEfKnYAU,I Just Wanna (Feat. Eric Nam),2016-11-10,10,16262,389,25
TUnEJM6W-Fw,Say You Won't Let Go,2016-09-08,10,10381718,135683,25367
dY1rJGQmLqU,Let It Go,2018-07-24,10,29429,481,41
-MjaFmdfSyY,Someone like U (너 같은),2016-01-05,10,35956,462,101
0mPXpFb0ZqY,Love mash (사랑범벅) (feat.Chancellor) (챈슬러) (of the channels),2016-11-10,10,63321,375,114
d0eUMnJ5kTA,Faded,2017-02-09,10,8777962,157378,28243
f1PWZ9hs1lc,Stole The Show,2015-03-26,10,1385561,18029,3759
7Z30jroC8Jk,머리부터 발끝까지 'Bout you,2018-08-16,10,99268,1148,252
4e8IZm0Aojc,백일몽 Evanesce,2016-11-29,10,2396,55,1
r1L0C13egx4,You,2015-12-01,10,16459,252,17
Y-Q1BQENYrg,Starlight (야경),2018-05-25,10,170013,826,148
