id,title,publishedAt,categoryId,viewCount,likeCount,dislikeCount
gd38-X3HpbM,林俊傑 JJ Lin – 不為誰而作的歌 Twilight (華納 Official 高畫質 HD 官方完整版 MV),2015-12-04,10,138527914,259290,10186
LWV-f6dMN3Q,林俊傑 JJ Lin - 修煉愛情 Practice Love (華納official 高畫質HD官方完整版MV),2013-03-01,10,110098228,196491,7663
762rm2HAOGY,"How Have You Been? (Ending Theme Song of TVBS Series ""Life List"")",2017-02-19,10,106089,686,197
dzOdE083TZs,Ballad,2017-11-16,10,14040,70,14
VNyiqtvtPLc,體面（電影《前任3：再見前任》插曲）,2018-02-28,10,323067,2422,673
q_oD7Ay_SfM,Those Were The Days,2014-11-08,10,142477,889,232
kfXdP7nZIiE,周杰倫 Jay Chou (with 楊瑞代)【等你下課 Waiting For You】歌詞版MV,2018-01-17,10,99728642,287954,16651
U-cIHm7sOQY,G.E.M.【回憶的沙漏 (10週年版) SANDGLASS】Official MV [HD] 鄧紫棋,2018-11-29,10,2804794,25996,364
DYptgVvkVLQ,Jay Chou周杰倫【晴天 Sunny Day】-Official Music Video,2013-04-17,10,27395162,47567,1652
GKF5zbixFFQ,This is love,2017-01-09,10,14461,99,15
ocDo3ySyHSI,Jay Chou 周杰倫【千里之外 Far Away】-Official Music Video(ft.費玉清),2013-03-26,10,19933491,38427,1758
OHbwkZgkBIU,小潘潘、小峰峰 - 學貓叫 Say Meow Meow（官方版MV）,2018-06-21,10,53955622,267745,29902
Z8Mqw0b9ADs,Jay Chou 周杰倫【青花瓷 Blue and White Porcelain】-Official Music Video,2013-03-25,10,21246867,50046,1730
UBySINroNkw,周杰倫 Jay Chou【明明就 Ming Ming Jiu】Official MV,2012-12-19,10,65882395,133168,4551
bu7nU9Mhpyo,周杰倫 Jay Chou (特別演出: 派偉俊)【告白氣球 Love Confession】Official MV,2016-10-27,10,181316787,356315,22082
DP04gn2SW_4,BINGBIAN病变 (女声版),2018-11-20,10,26880,332,30
AII7UX92Z_I,刚好遇见你,2017-07-24,10,157698,1141,455
-p4tl5Dz3HQ,說散就散,2016-06-22,10,191595,1454,441
ELScjuBfGYQ,Na Zou Le Shen Mo,2015-01-22,10,16537,166,13
